District,0-14,15-24,25-44,45-64,65+,Median age
Central and Western,0.11,0.10,0.31,0.31,0.18,43
Wan Chai,0.10,0.08,0.32,0.32,0.17,44
Eastern,0.12,0.09,0.30,0.32,0.00,44
Southern,0.12,0.09,0.30,0.32,0.17,44
Yau Tsim Mong,0.12,0.10,0.31,0.32,0.16,43
Sham Shui Po,0.13,0.09,0.30,0.32,0.17,43
Kowloon City,0.12,0.09,0.31,0.32,0.17,43
Wong Tai Sin,0.11,0.10,0.28,0.33,0.19,45
Kwun Tong,0.12,0.09,0.29,0.32,0.18,44
Kwai Tsing,0.11,0.10,0.29,0.32,0.18,44
Tsuen Wan,0.12,0.09,0.30,0.33,0.16,44
Tuen Mun,0.12,0.10,0.29,0.33,0.17,44
Yuen Long,0.12,0.10,0.32,0.31,0.16,42
North,0.13,0.10,0.30,0.32,0.16,43
Tai Po,0.12,0.09,0.30,0.33,0.16,44
Sha Tin,0.12,0.10,0.28,0.33,0.17,45
Sai Kung,0.12,0.09,0.31,0.32,0.16,43
Islands,0.13,0.10,0.33,0.28,0.16,40
