District,Latitude,Longitude,Region
Central and Western,22.2833,114.15,Hong Kong Island
Wan Chai,22.2799,114.1737,Hong Kong Island
Eastern,22.28411,114.22414,Hong Kong Island
Southern,22.24725,114.1588,Hong Kong Island
Yau Tsim Mong,22.3211,114.1726,Kowloon
Sham Shui Po,22.3318,114.1621,Kowloon
Kowloon City,22.3287,114.1912,Kowloon
Wong Tai Sin,22.343,114.193,Kowloon
Kwun Tong,22.3233,114.2154,Kowloon
Kwai Tsing,22.3529,114.1,New Territories
Tsuen Wan,22.3707,114.1048,New Territories
Tuen Mun,22.3916,113.9709,New Territories
Yuen Long, 22.4400,114.0221,New Territories
North,22.4926,114.1335,New Territories
Tai Po,22.4501,114.1688,New Territories
Sha Tin,22.3833,114.1833,New Territories
Sai Kung,22.3814,114.2733,New Territories
Islands,22.2689,113.9516,New Territories
